id,name,types,url,image_url
1,bulbasaur,"grass, poison",https://pokeapi.co/api/v2/pokemon/1/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png
2,ivysaur,"grass, poison",https://pokeapi.co/api/v2/pokemon/2/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png
3,venusaur,"grass, poison",https://pokeapi.co/api/v2/pokemon/3/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png
4,charmander,fire,https://pokeapi.co/api/v2/pokemon/4/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png
5,charmeleon,fire,https://pokeapi.co/api/v2/pokemon/5/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png
6,charizard,"fire, flying",https://pokeapi.co/api/v2/pokemon/6/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png
7,squirtle,water,https://pokeapi.co/api/v2/pokemon/7/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png
8,wartortle,water,https://pokeapi.co/api/v2/pokemon/8/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png
9,blastoise,water,https://pokeapi.co/api/v2/pokemon/9/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png
10,caterpie,bug,https://pokeapi.co/api/v2/pokemon/10/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png
11,metapod,bug,https://pokeapi.co/api/v2/pokemon/11/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png
12,butterfree,"bug, flying",https://pokeapi.co/api/v2/pokemon/12/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png
13,weedle,"bug, poison",https://pokeapi.co/api/v2/pokemon/13/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png
14,kakuna,"bug, poison",https://pokeapi.co/api/v2/pokemon/14/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png
15,beedrill,"bug, poison",https://pokeapi.co/api/v2/pokemon/15/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png
16,pidgey,"normal, flying",https://pokeapi.co/api/v2/pokemon/16/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png
17,pidgeotto,"normal, flying",https://pokeapi.co/api/v2/pokemon/17/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png
18,pidgeot,"normal, flying",https://pokeapi.co/api/v2/pokemon/18/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png
19,rattata,normal,https://pokeapi.co/api/v2/pokemon/19/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png
20,raticate,normal,https://pokeapi.co/api/v2/pokemon/20/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png
21,spearow,"normal, flying",https://pokeapi.co/api/v2/pokemon/21/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png
22,fearow,"normal, flying",https://pokeapi.co/api/v2/pokemon/22/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png
23,ekans,poison,https://pokeapi.co/api/v2/pokemon/23/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png
